Classroom_ID,student_ID,studentgender,grade,course,Year,teststarttime,testdurationminutes,test_percentile,growth_percentile
Classroom3,3dc91d73f98143aa88c9914ce7da1e66,M,3,Language Usage,Year2,0.905104167,37,62,
Classroom3,3dc91d73f98143aa88c9914ce7da1e66,M,3,Math K-12,Year2,0.907303241,69,70,
Classroom3,3dc91d73f98143aa88c9914ce7da1e66,M,3,Reading,Year2,0.903784722,69,54,
Classroom3,7dbc249a36b64bcc8aa26a7941c010a1,F,3,Language Usage,Year2,0.905150463,36,84,
Classroom3,7dbc249a36b64bcc8aa26a7941c010a1,F,3,Math K-12,Year2,0.907280093,45,91,
Classroom3,7dbc249a36b64bcc8aa26a7941c010a1,F,3,Reading,Year2,0.90375,67,66,
Classroom3,ff3945adccdc4d33abd5256c0a299eb4,M,3,Language Usage,Year2,0.905046296,41,85,
Classroom3,ff3945adccdc4d33abd5256c0a299eb4,M,3,Math K-12,Year2,0.907268519,53,88,
Classroom3,ff3945adccdc4d33abd5256c0a299eb4,M,3,Reading,Year2,0.90375,57,78,
Classroom3,02c43a532fed4aad883c8976e30bd09e,M,3,Language Usage,Year2,0.905092593,14,70,
Classroom3,02c43a532fed4aad883c8976e30bd09e,M,3,Math K-12,Year2,0.907280093,32,60,
Classroom3,02c43a532fed4aad883c8976e30bd09e,M,3,Reading,Year2,0.903761574,17,26,
Classroom3,c6686b912675463e89bc8cb075fae53d,M,3,Language Usage,Year2,0.905104167,31,91,
Classroom3,c6686b912675463e89bc8cb075fae53d,M,3,Math K-12,Year2,0.907280093,37,74,
Classroom3,c6686b912675463e89bc8cb075fae53d,M,3,Reading,Year2,0.903726852,61,88,
Classroom3,cbb95a88ec184ea597a179bf7c36c047,M,3,Language Usage,Year2,0.905162037,46,78,
Classroom3,cbb95a88ec184ea597a179bf7c36c047,M,3,Math K-12,Year2,0.90724537,72,78,
Classroom3,cbb95a88ec184ea597a179bf7c36c047,M,3,Reading,Year2,0.903703704,60,61,
Classroom3,9ea1dadfcc804f39bf2c895f48d81a43,M,3,Language Usage,Year2,0.905081019,65,98,
Classroom3,9ea1dadfcc804f39bf2c895f48d81a43,M,3,Math K-12,Year2,0.907141204,101,98,
Classroom3,9ea1dadfcc804f39bf2c895f48d81a43,M,3,Reading,Year2,0.903668981,68,98,
Classroom3,b03a22e936b644a6b6f0bf88e217eb10,F,3,Language Usage,Year2,0.90505787,51,82,
Classroom3,b03a22e936b644a6b6f0bf88e217eb10,F,3,Math K-12,Year2,0.901435185,50,89,
Classroom3,b03a22e936b644a6b6f0bf88e217eb10,F,3,Reading,Year2,0.903738426,88,79,
Classroom3,83b47164d135441ca41ed711266e1174,M,3,Language Usage,Year2,0.905138889,27,43,
Classroom3,83b47164d135441ca41ed711266e1174,M,3,Math K-12,Year2,0.907303241,36,89,
Classroom3,83b47164d135441ca41ed711266e1174,M,3,Reading,Year2,0.903715278,46,64,
Classroom3,c66e710654924df88ea07ebdfa5fad5f,F,3,Language Usage,Year2,0.905069444,33,83,
